Meal Plan,Rating,Review_Text,Taste_Rating,Portion_Rating
1,1,Disappointed with meal plan 1. Bad taste and small portions.,2,2
1,1,Disappointed with meal plan 1. Bad taste and small portions.,2,2
1,2,Disappointed with meal plan 1. Bad taste and small portions.,2,2
1,1,Disappointed with meal plan 1. Bad taste and small portions.,2,2
1,2,Disappointed with meal plan 1. Bad taste and small portions.,2,1
1,2,Disappointed with meal plan 1. Bad taste and small portions.,1,2
1,2,Disappointed with meal plan 1. Bad taste and small portions.,2,1
2,2,Disappointed with meal plan 2. Bad taste and small portions.,2,1
2,1,Disappointed with meal plan 2. Bad taste and small portions.,1,1
2,2,Disappointed with meal plan 2. Bad taste and small portions.,1,1
2,1,Disappointed with meal plan 2. Bad taste and small portions.,2,2
2,2,Disappointed with meal plan 2. Bad taste and small portions.,2,1
2,1,Disappointed with meal plan 2. Bad taste and small portions.,2,2
2,1,Disappointed with meal plan 2. Bad taste and small portions.,1,1
3,1,Disappointed with meal plan 3. Bad taste and small portions.,2,1
3,2,Disappointed with meal plan 3. Bad taste and small portions.,1,1
3,2,Disappointed with meal plan 3. Bad taste and small portions.,1,1
3,1,Disappointed with meal plan 3. Bad taste and small portions.,1,2
3,1,Disappointed with meal plan 3. Bad taste and small portions.,1,2
3,2,Disappointed with meal plan 3. Bad taste and small portions.,1,1
3,1,Disappointed with meal plan 3. Bad taste and small portions.,1,1
4,2,Disappointed with meal plan 4. Bad taste and small portions.,1,1
4,1,Disappointed with meal plan 4. Bad taste and small portions.,1,1
4,2,Disappointed with meal plan 4. Bad taste and small portions.,1,1
4,1,Disappointed with meal plan 4. Bad taste and small portions.,1,2
4,2,Disappointed with meal plan 4. Bad taste and small portions.,1,2
4,2,Disappointed with meal plan 4. Bad taste and small portions.,1,1
4,1,Disappointed with meal plan 4. Bad taste and small portions.,2,2
5,2,Disappointed with meal plan 5. Bad taste and small portions.,1,1
5,1,Disappointed with meal plan 5. Bad taste and small portions.,2,2
5,1,Disappointed with meal plan 5. Bad taste and small portions.,2,1
5,2,Disappointed with meal plan 5. Bad taste and small portions.,2,2
5,1,Disappointed with meal plan 5. Bad taste and small portions.,2,2
5,1,Disappointed with meal plan 5. Bad taste and small portions.,2,2
5,1,Disappointed with meal plan 5. Bad taste and small portions.,2,1
6,2,Disappointed with meal plan 6. Bad taste and small portions.,2,1
6,2,Disappointed with meal plan 6. Bad taste and small portions.,1,2
6,1,Disappointed with meal plan 6. Bad taste and small portions.,1,2
6,2,Disappointed with meal plan 6. Bad taste and small portions.,2,2
6,2,Disappointed with meal plan 6. Bad taste and small portions.,1,1
6,2,Disappointed with meal plan 6. Bad taste and small portions.,1,1
6,2,Disappointed with meal plan 6. Bad taste and small portions.,2,1
7,1,Disappointed with meal plan 7. Bad taste and small portions.,1,2
7,2,Disappointed with meal plan 7. Bad taste and small portions.,1,2
7,1,Disappointed with meal plan 7. Bad taste and small portions.,1,2
7,2,Disappointed with meal plan 7. Bad taste and small portions.,2,2
7,1,Disappointed with meal plan 7. Bad taste and small portions.,1,2
7,2,Disappointed with meal plan 7. Bad taste and small portions.,2,1
7,1,Disappointed with meal plan 7. Bad taste and small portions.,1,1
8,1,Disappointed with meal plan 8. Bad taste and small portions.,2,1
8,2,Disappointed with meal plan 8. Bad taste and small portions.,2,2
8,1,Disappointed with meal plan 8. Bad taste and small portions.,1,1
8,1,Disappointed with meal plan 8. Bad taste and small portions.,2,1
8,2,Disappointed with meal plan 8. Bad taste and small portions.,1,1
8,2,Disappointed with meal plan 8. Bad taste and small portions.,1,2
8,1,Disappointed with meal plan 8. Bad taste and small portions.,2,2
9,1,Disappointed with meal plan 9. Bad taste and small portions.,2,2
9,2,Disappointed with meal plan 9. Bad taste and small portions.,1,1
9,2,Disappointed with meal plan 9. Bad taste and small portions.,1,1
9,2,Disappointed with meal plan 9. Bad taste and small portions.,1,1
9,2,Disappointed with meal plan 9. Bad taste and small portions.,2,2
9,2,Disappointed with meal plan 9. Bad taste and small portions.,2,1
9,1,Disappointed with meal plan 9. Bad taste and small portions.,1,2
10,1,Disappointed with meal plan 10. Bad taste and small portions.,2,2
10,1,Disappointed with meal plan 10. Bad taste and small portions.,2,2
10,2,Disappointed with meal plan 10. Bad taste and small portions.,2,2
10,2,Disappointed with meal plan 10. Bad taste and small portions.,1,2
10,2,Disappointed with meal plan 10. Bad taste and small portions.,1,1
10,1,Disappointed with meal plan 10. Bad taste and small portions.,1,1
10,2,Disappointed with meal plan 10. Bad taste and small portions.,1,2
11,1,Disappointed with meal plan 11. Bad taste and small portions.,1,2
11,2,Disappointed with meal plan 11. Bad taste and small portions.,2,2
11,1,Disappointed with meal plan 11. Bad taste and small portions.,1,2
11,2,Disappointed with meal plan 11. Bad taste and small portions.,1,1
11,2,Disappointed with meal plan 11. Bad taste and small portions.,2,1
11,2,Disappointed with meal plan 11. Bad taste and small portions.,1,1
11,1,Disappointed with meal plan 11. Bad taste and small portions.,1,2
12,2,Disappointed with meal plan 12. Bad taste and small portions.,2,1
12,1,Disappointed with meal plan 12. Bad taste and small portions.,1,2
12,2,Disappointed with meal plan 12. Bad taste and small portions.,2,2
12,2,Disappointed with meal plan 12. Bad taste and small portions.,1,2
12,1,Disappointed with meal plan 12. Bad taste and small portions.,2,1
12,2,Disappointed with meal plan 12. Bad taste and small portions.,2,2
12,1,Disappointed with meal plan 12. Bad taste and small portions.,2,1
13,2,Disappointed with meal plan 13. Bad taste and small portions.,2,2
