Meal Plan,Rating,Review_Text,Taste_Rating,Portion_Rating
1,3.3,Excellent meal plan!,4,3
2,4.8,Great taste and variety!,2,3
3,4.8,Needs more protein.,1,1
4,2.4,Too salty for my taste.,4,3
5,3.8,Loved the walnuts!,1,4
6,1.7,Loved the dessert options!,3,5
7,4.2,Fantastic value for the price.,3,4
8,4.5,Portion size was perfect.,5,2
9,1.8,Portion size was perfect.,3,1
10,2.5,Fantastic value for the price.,3,3
11,4.3,Great taste and variety!,1,2
12,3.4,Too salty for my taste.,4,3
13,1.4,Fantastic value for the price.,5,1
14,3.5,Could use more vegetables.,3,1
15,2.7,Needs more protein.,3,5
16,3.2,Portion size was perfect.,5,1
17,3,Excellent meal plan!,2,1
18,1.6,Portion size was perfect.,5,1
19,2.5,Too salty for my taste.,4,3
20,1,Fantastic value for the price.,1,5
21,2.6,Needs more protein.,3,5
22,4.4,Too salty for my taste.,2,5
23,2.2,Needs more protein.,5,1
24,3.8,Not enough breakfast choices.,5,2
25,4.4,Loved the walnuts!,1,1
26,3.8,Portion size was perfect.,2,1
27,2.8,Portion size was perfect.,4,1
28,3.9,Loved the walnuts!,3,4
29,3.2,Too salty for my taste.,4,4
30,3.5,Portion size was perfect.,2,3
31,3,Excellent meal plan!,1,5
32,4,Could use more vegetables.,4,5
33,2.2,Portion size was perfect.,2,2
34,1.8,Loved the walnuts!,4,4
35,2.5,Excellent meal plan!,3,5
36,1.9,Portion size was perfect.,2,3
37,3.4,Loved the walnuts!,5,5
38,2.4,Fantastic value for the price.,3,2
39,1.7,Portion size was perfect.,1,4
40,3.7,Not enough breakfast choices.,2,4
41,2.5,Fantastic value for the price.,5,2
42,4.1,Too salty for my taste.,2,3
43,2.1,Loved the dessert options!,2,4
44,3.7,Needs more protein.,3,4
45,3.3,Fantastic value for the price.,1,2
46,3.3,Great taste and variety!,2,5
47,3.3,Excellent meal plan!,4,1
48,3,Loved the walnuts!,3,2
49,3,Loved the dessert options!,5,5
50,2.6,Could use more vegetables.,4,5
51,3.3,Loved the dessert options!,1,1
52,4.9,Too salty for my taste.,5,2
53,4,Too salty for my taste.,3,1
54,2.4,Fantastic value for the price.,2,1
55,3.4,Portion size was perfect.,2,3
56,4.4,Not enough breakfast choices.,2,1
57,2.6,Could use more vegetables.,1,4
58,3.2,Could use more vegetables.,1,1
59,5,Needs more protein.,4,2
60,4.2,Too salty for my taste.,2,3
61,4.4,Too salty for my taste.,4,4
62,1.4,Not enough breakfast choices.,1,3
63,1.1,Too salty for my taste.,5,4
64,2.7,Loved the walnuts!,2,2
65,1.7,Loved the dessert options!,2,5
66,2.8,Too salty for my taste.,1,3
67,3.7,Loved the walnuts!,5,5
68,4.2,Too salty for my taste.,1,2
69,4.6,Needs more protein.,2,1
70,2.2,Not enough breakfast choices.,3,2
71,2.1,Great taste and variety!,5,4
72,1.9,Needs more protein.,5,5
73,1.2,Fantastic value for the price.,2,1
74,1,Too salty for my taste.,4,3
75,1.2,Could use more vegetables.,4,2
76,1.7,Great taste and variety!,4,1
77,3.4,Needs more protein.,4,2
78,4.1,Not enough breakfast choices.,1,2
79,3.5,Could use more vegetables.,3,3
80,4.6,Too salty for my taste.,3,1
81,3.5,Loved the walnuts!,2,5
82,2.9,Loved the dessert options!,5,5
83,3.9,Loved the dessert options!,5,5
84,4.3,Too salty for my taste.,4,4
85,3,Too salty for my taste.,2,4
86,1.7,Great taste and variety!,1,3
87,4.5,Needs more protein.,5,3
88,4.8,Too salty for my taste.,2,3
89,3.8,Loved the walnuts!,1,5
90,2.8,Loved the walnuts!,1,3
91,3.1,Too salty for my taste.,1,1
92,4,Portion size was perfect.,1,4
93,4.2,Not enough breakfast choices.,3,4
94,3.6,Needs more protein.,4,2
95,3.3,Portion size was perfect.,2,1
96,1.3,Excellent meal plan!,3,4
97,3.6,Loved the dessert options!,2,5
98,4.1,Fantastic value for the price.,3,1
99,4.9,Loved the dessert options!,4,1
100,3,Portion size was perfect.,1,3
