Trend_Name,Food_Items,Start_Date,End_Date,Popularity_Score
Keto Diet,"Meat, Fish, Eggs",2018-01-31,,7
Veganism,"Vegetables, Fruits",2018-04-30,,10
Gluten-Free,"Grains, Seeds",2018-07-31,,8
Paleo Diet,"Meat, Fish, Nuts",2018-10-31,,6
Keto Diet,"Meat, Fish, Eggs",2019-01-31,,8
Veganism,"Vegetables, Fruits",2019-04-30,,8
Gluten-Free,"Grains, Seeds",2019-07-31,,6
Paleo Diet,"Meat, Fish, Nuts",2019-10-31,,3
Keto Diet,"Meat, Fish, Eggs",2020-01-31,,4
Veganism,"Vegetables, Fruits",2020-04-30,,4
Gluten-Free,"Grains, Seeds",2020-07-31,,7
Paleo Diet,"Meat, Fish, Nuts",2020-10-31,,6
Keto Diet,"Meat, Fish, Eggs",2021-01-31,,6
Veganism,"Vegetables, Fruits",2021-04-30,,3
Gluten-Free,"Grains, Seeds",2021-07-31,,4
Paleo Diet,"Meat, Fish, Nuts",2021-10-31,,1
Keto Diet,"Meat, Fish, Eggs",2022-01-31,,5
Veganism,"Vegetables, Fruits",2022-04-30,,2
Gluten-Free,"Grains, Seeds",2022-07-31,,7
Paleo Diet,"Meat, Fish, Nuts",2022-10-31,,3
Keto Diet,"Meat, Fish, Eggs",2023-01-31,,1
Veganism,"Vegetables, Fruits",2023-04-30,,3
Gluten-Free,"Grains, Seeds",2023-07-31,,7
Paleo Diet,"Meat, Fish, Nuts",2023-10-31,,3
Keto Diet,"Meat, Fish, Eggs",2024-01-31,,4
Veganism,"Vegetables, Fruits",2024-04-30,,4
Gluten-Free,"Grains, Seeds",2024-07-31,,6
Paleo Diet,"Meat, Fish, Nuts",2024-10-31,,3
Keto Diet,"Meat, Fish, Eggs",2025-01-31,,5
Veganism,"Vegetables, Fruits",2025-04-30,,8
Gluten-Free,"Grains, Seeds",2025-07-31,,2
Paleo Diet,"Meat, Fish, Nuts",2025-10-31,,2
Keto Diet,"Meat, Fish, Eggs",2026-01-31,,4
Veganism,"Vegetables, Fruits",2026-04-30,,2
Gluten-Free,"Grains, Seeds",2026-07-31,,5
Paleo Diet,"Meat, Fish, Nuts",2026-10-31,,7
Keto Diet,"Meat, Fish, Eggs",2027-01-31,,4
Veganism,"Vegetables, Fruits",2027-04-30,,3
Gluten-Free,"Grains, Seeds",2027-07-31,,7
Paleo Diet,"Meat, Fish, Nuts",2027-10-31,,5
Keto Diet,"Meat, Fish, Eggs",2028-01-31,,2
Veganism,"Vegetables, Fruits",2028-04-30,,8
Gluten-Free,"Grains, Seeds",2028-07-31,,3
Paleo Diet,"Meat, Fish, Nuts",2028-10-31,,2
Keto Diet,"Meat, Fish, Eggs",2029-01-31,,7
Veganism,"Vegetables, Fruits",2029-04-30,,6
Gluten-Free,"Grains, Seeds",2029-07-31,,9
Paleo Diet,"Meat, Fish, Nuts",2029-10-31,,8
Keto Diet,"Meat, Fish, Eggs",2030-01-31,,2
Veganism,"Vegetables, Fruits",2030-04-30,,2
Gluten-Free,"Grains, Seeds",2030-07-31,,10
Paleo Diet,"Meat, Fish, Nuts",2030-10-31,,9
Keto Diet,"Meat, Fish, Eggs",2031-01-31,,1
Veganism,"Vegetables, Fruits",2031-04-30,,10
Gluten-Free,"Grains, Seeds",2031-07-31,,9
Paleo Diet,"Meat, Fish, Nuts",2031-10-31,,4
Keto Diet,"Meat, Fish, Eggs",2032-01-31,,5
Veganism,"Vegetables, Fruits",2032-04-30,,7
Gluten-Free,"Grains, Seeds",2032-07-31,,2
Paleo Diet,"Meat, Fish, Nuts",2032-10-31,,3
Keto Diet,"Meat, Fish, Eggs",2033-01-31,,1
Veganism,"Vegetables, Fruits",2033-04-30,,3
Gluten-Free,"Grains, Seeds",2033-07-31,,5
Paleo Diet,"Meat, Fish, Nuts",2033-10-31,,10
Keto Diet,"Meat, Fish, Eggs",2034-01-31,,9
Veganism,"Vegetables, Fruits",2034-04-30,,9
Gluten-Free,"Grains, Seeds",2034-07-31,,8
Paleo Diet,"Meat, Fish, Nuts",2034-10-31,,1
Keto Diet,"Meat, Fish, Eggs",2035-01-31,,5
Veganism,"Vegetables, Fruits",2035-04-30,,8
Gluten-Free,"Grains, Seeds",2035-07-31,,4
Paleo Diet,"Meat, Fish, Nuts",2035-10-31,,9
Keto Diet,"Meat, Fish, Eggs",2036-01-31,,1
Veganism,"Vegetables, Fruits",2036-04-30,,9
