Meal Plan,ASIN,Quantity,Daily Servings,Category
1,B000V79VSO,1,2.00,Honey Almond Butter
1,B07FXJMZJQ,2,2.57,Peanuts
1,B074H54XM2,1,0.50,Cannellini Beans
1,B07NRC969Z,1,1.14,Cod Fillet
1,B09FQRMJHP,1,0.14,Tso Chicken
1,B09YS4S3VW,1,0.43,Quiche Broccoli
1,B074H6QSW3,2,3.14,Bran Flakes
1,B08G9XYDNS,1,4.57,Heavy Cream
1,B074H5Y3M8,1,0.71,Root Vegetables
1,B000VHF5J8,1,0.14,Protein Bar
1,B074H64BHH,1,1.14,Casarecce
1,B074H5QQWX,1,0.29,Raspberries
2,B07Q9FQML9,1,0.43,Cauliflower
2,B00LMC502S,2,1.14,Yogurt
2,B07FXJMZJQ,1,1.29,Peanuts
2,B000V79VSO,1,2.00,Honey Almond Butter
2,B07NRC7THL,1,0.36,Chicken Breast
2,B09SC4JQ1L,1,0.43,Quiche Lorraine
2,B07VKJ7TW9,3,4.29,Sliced Cheese
2,B0884P2JXP,1,0.43,Tomato Soup
2,B07V262C64,1,0.86,Cereal Bar
2,B088STMCYJ,1,2.14,Protein Powder
2,B074H6QSW3,1,1.57,Bran Flakes
3,B0884P2JXP,1,0.43,Tomato Soup
3,B07FYYKKQK,1,0.14,Banana
3,B08G9XYDNS,1,4.57,Heavy Cream
3,B074H5M1PM,1,1.43,Egg White
3,B074H6QSW3,2,3.14,Bran Flakes
3,B074H54NKR,1,0.86,Mango Slices
3,B07GLT4Z49,1,1.43,Walnuts
3,B088STMCYJ,1,2.14,Protein Powder
3,B000VHF5J8,1,0.14,Protein Bar
3,B07VKY77DR,1,1.14,Bran Cereal
3,B09FQRMJHH,1,0.14,Shrimp
3,B07N9DBRLG,1,1.14,Cookie
3,B077RYGD4L,1,0.64,Yogurt
4,B07N9DBRLG,2,2.29,Cookie
4,B07GLT4Z49,1,1.43,Walnuts
4,B088STMCYJ,2,4.29,Protein Powder
4,B09SC4JQ1L,2,0.86,Quiche Lorraine
4,B074H737VK,1,0.50,Peach
4,B07KMYWCPP,2,1.14,Cottage Cheese
4,B074H54XM2,1,0.50,Cannellini Beans
4,B0884P2JXP,2,0.86,Tomato Soup
4,B06XZMT4PG,1,0.14,Peanut Butter Bar
5,B09FQRMJHP,1,0.14,Tso Chicken
5,B074H5LWCJ,1,0.86,Mango
5,B07N9DBRLG,3,3.43,Cookie
5,B08GMXG1MM,1,0.29,Pot Pie
5,B000V79VSO,1,2.00,Honey Almond Butter
5,B09FQRMJHH,1,0.14,Shrimp
5,B088STMCYJ,1,2.14,Protein Powder
5,B074H737VK,1,0.50,Peach
5,B000RGZMTQ,1,0.29,Apple
5,B074H6QSW3,1,1.57,Bran Flakes
5,B0884P2JXP,1,0.43,Tomato Soup
5,B079JT8ZZF,1,1.57,Broccoli Florets
6,B0779HTYC9,2,0.29,Salami
6,B074H7KL3S,1,0.71,Vegetables Mixed
6,B077RYGD4L,1,0.64,Yogurt
6,B07VKJ7TW9,1,1.43,Sliced Cheese
6,B07V262C64,1,0.86,Cereal Bar
